Height(mm),Volume(ltrs)
0,0
2,1
4,4
6,8
8,12
10,17
12,23
14,29
16,35
18,42
20,50
22,57
24,65
26,73
28,82
30,90
32,100
34,103
36,106
38,109
40,112
42,116
44,119
46,123
48,126
50,130
52,134
54,138
56,142
58,145
60,150
62,155
64,161
66,168
68,174
70,180
72,187
74,193
76,200
78,207
80,215
82,223
84,231
86,240
88,248
90,256
92,265
94,273
96,282
98,291
100,300
102,308
104,316
106,324
108,332
110,340
112,348
114,357
116,365
118,374
120,382
122,391
124,400
126,407
128,414
130,422
132,429
134,437
136,445
138,452
140,460
142,468
144,476
146,484
148,492
150,500
152,509
154,519
156,529
158,539
160,549
162,559
164,569
166,579
168,589
170,600
172,609
174,618
176,627
178,636
180,645
182,655
184,664
186,673
188,683
190,692
192,702
194,712
196,721
198,731
200,741
202,750
204,760
206,770
208,780
210,790
212,800
214,809
216,819
218,829
220,838
222,848
224,858
226,868
228,878
230,888
232,898
234,908
236,918
238,928
240,938
242,948
244,959
246,969
248,979
250,989
252,1000
254,1011
256,1022
258,1033
260,1045
262,1056
264,1067
266,1079
268,1090
270,1102
272,1113
274,1125
276,1136
278,1148
280,1160
282,1171
284,1183
286,1195
288,1207
290,1219
292,1230
294,1242
296,1254
298,1266
300,1278
302,1290
304,1302
306,1314
308,1327
310,1339
312,1351
314,1363
316,1375
318,1388
320,1400
322,1412
324,1425
326,1437
328,1450
330,1462
332,1475
334,1487
336,1500
338,1513
340,1526
342,1539
344,1552
346,1565
348,1578
350,1591
352,1605
354,1618
356,1631
358,1644
360,1658
362,1671
364,1684
366,1698
368,1711
370,1725
372,1738
374,1752
376,1765
378,1779
380,1793
382,1806
384,1820
386,1834
388,1847
390,1861
392,1875
394,1889
396,1902
398,1916
400,1930
402,1944
404,1958
406,1972
408,1986
410,2000
412,2013
414,2026
416,2039
418,2053
420,2066
422,2079
424,2092
426,2105
428,2119
430,2132
432,2145
434,2159
436,2172
438,2186
440,2199
442,2212
444,2226
446,2239
448,2253
450,2267
452,2280
454,2294
456,2307
458,2321
460,2335
462,2348
464,2362
466,2376
468,2389
470,2403
472,2417
474,2431
476,2445
478,2458
480,2472
482,2486
484,2500
486,2514
488,2527
490,2541
492,2554
494,2568
496,2582
498,2595
500,2609
502,2623
504,2637
506,2650
508,2664
510,2678
512,2692
514,2706
516,2719
518,2733
520,2747
522,2761
524,2775
526,2789
528,2803
530,2817
532,2831
534,2845
536,2859
538,2873
540,2887
542,2901
544,2915
546,2929
548,2943
550,2958
552,2972
554,2986
556,3000
558,3016
560,3031
562,3047
564,3063
566,3079
568,3094
570,3110
572,3126
574,3142
576,3157
578,3173
580,3189
582,3205
584,3221
586,3237
588,3253
590,3268
592,3284
594,3300
596,3316
598,3332
600,3348
602,3364
604,3380
606,3396
608,3412
610,3429
612,3445
614,3461
616,3477
618,3493
620,3509
622,3525
624,3541
626,3558
628,3574
630,3590
632,3606
634,3623
636,3639
638,3655
640,3671
642,3688
644,3704
646,3820
648,3737
650,3753
652,3770
654,3786
656,3802
658,3819
660,3835
662,3852
664,3868
666,3885
668,3901
670,3918
672,3934
674,3951
676,3967
678,3984
680,4000
682,4016
684,4033
686,4049
688,4065
690,4081
692,4097
694,4113
696,4129
698,4146
700,4162
702,4178
704,4194
706,4210
708,4227
710,4243
712,4259
714,4275
716,4292
718,4308
720,4324
722,4340
724,4357
726,4373
728,4389
730,4406
732,4422
734,4438
736,4455
738,4471
740,4488
742,4504
744,4520
746,4537
748,4553
750,4570
752,4586
754,4603
756,4619
758,4636
760,4652
762,4669
764,4685
766,4702
768,4718
770,4735
772,4751
774,4768
776,4784
778,4801
780,4818
782,4834
784,4851
786,4867
788,4884
790,4901
792,4917
794,4934
796,4951
798,4967
800,4984
802,5001
804,5017
806,5033
808,5049
810,5066
812,5082
814,5098
816,5114
818,5131
820,5147
822,5163
824,5179
826,5196
828,5212
830,5228
832,5245
834,5261
836,5277
838,5293
840,5310
842,5326
844,5342
846,5359
848,5375
850,5392
852,5408
854,5424
856,5441
858,5457
860,5473
862,5490
864,5506
866,5523
868,5539
870,5556
872,5572
874,5588
876,5605
878,5621
880,5638
882,5654
884,5671
886,5687
888,5704
890,5720
892,5737
894,5753
896,5770
898,5786
900,5803
902,5819
904,5836
906,5852
