Height(mm),Volume(ltrs)
0 ,0 
2 ,4 
4 ,8 
6 ,12 
8 ,16 
10 ,20 
12 ,24 
14 ,28 
16 ,33 
18 ,37 
20 ,41 
22 ,45 
24 ,49 
26 ,53 
28 ,57 
30 ,61 
32 ,65 
34 ,69 
36 ,73 
38 ,77 
40 ,81 
42 ,85 
44 ,89 
46 ,93 
48 ,98 
50 ,102 
52 ,106 
54 ,110 
56 ,114 
58 ,118 
60 ,122 
62 ,126 
64 ,130 
66 ,134 
68 ,138 
70 ,142 
72 ,146 
74 ,150 
76 ,154 
78 ,159 
80 ,163 
82 ,167 
84 ,171 
86 ,175 
88 ,179 
90 ,183 
92 ,187 
94 ,191 
96 ,195 
98 ,199 
100 ,203 
102 ,207 
104 ,211 
106 ,215 
108 ,220 
110 ,224 
112 ,228 
114 ,232 
116 ,236 
118 ,240 
120 ,244 
122 ,248 
124 ,252 
126 ,256 
128 ,260 
130 ,264 
132 ,268 
134 ,272 
136 ,276 
138 ,280 
140 ,285 
142 ,289 
144 ,293 
146 ,297 
148 ,301 
150 ,305 
152 ,309 
154 ,313 
156 ,317 
158 ,321 
160 ,325 
162 ,329 
164 ,333 
166 ,337 
168 ,341 
170 ,346 
172 ,350 
174 ,354 
176 ,358 
178 ,362 
180 ,366 
182 ,370 
184 ,374 
186 ,378 
188 ,382 
190 ,386 
192 ,390 
194 ,394 
196 ,398 
198 ,402 
200 ,407 
202 ,411 
204 ,415 
206 ,419 
208 ,423 
210 ,427 
212 ,431 
214 ,435 
216 ,439 
218 ,443 
220 ,447 
222 ,451 
224 ,455 
226 ,459 
228 ,463 
230 ,467 
232 ,472 
234 ,476 
236 ,480 
238 ,484 
240 ,488 
242 ,492 
244 ,496 
246 ,500 
248 ,506 
250 ,512 
252 ,518 
254 ,524 
256 ,530 
258 ,536 
260 ,542 
262 ,548 
264 ,554 
266 ,560 
268 ,565 
270 ,571 
272 ,577 
274 ,583 
276 ,589 
278 ,595 
280 ,601 
282 ,607 
284 ,613 
286 ,619 
288 ,625 
290 ,631 
292 ,637 
294 ,643 
296 ,649 
298 ,655 
300 ,661 
302 ,667 
304 ,673 
306 ,679 
308 ,685 
310 ,690 
312 ,696 
314 ,702 
316 ,708 
318 ,714 
320 ,720 
322 ,726 
324 ,732 
326 ,738 
328 ,744 
330 ,750 
332 ,756 
334 ,762 
336 ,768 
338 ,774 
340 ,780 
342 ,786 
344 ,792 
346 ,798 
348 ,804 
350 ,810 
352 ,815 
354 ,821 
356 ,827 
358 ,833 
360 ,839 
362 ,845 
364 ,851 
366 ,857 
368 ,863 
370 ,869 
372 ,875 
374 ,881 
376 ,887 
378 ,893 
380 ,899 
382 ,905 
384 ,911 
386 ,917 
388 ,923 
390 ,929 
392 ,935 
394 ,940 
396 ,946 
398 ,952 
400 ,958 
402 ,964 
404 ,970 
406 ,976 
408 ,982 
410 ,988 
412 ,994 
414 ,1000 
416 ,1007 
418 ,1015 
420 ,1022 
422 ,1030 
424 ,1037 
426 ,1045 
428 ,1052 
430 ,1060 
432 ,1067 
434 ,1075 
436 ,1082 
438 ,1090 
440 ,1097 
442 ,1104 
444 ,1112 
446 ,1119 
448 ,1127 
450 ,1134 
452 ,1142 
454 ,1149 
456 ,1157 
458 ,1164 
460 ,1172 
462 ,1179 
464 ,1187 
466 ,1194 
468 ,1201 
470 ,1209 
472 ,1216 
474 ,1224 
476 ,1231 
478 ,1239 
480 ,1246 
482 ,1254 
484 ,1261 
486 ,1269 
488 ,1276 
490 ,1284 
492 ,1291 
494 ,1299 
496 ,1306 
498 ,1313 
500 ,1321 
502 ,1328 
504 ,1336 
506 ,1343 
508 ,1351 
510 ,1358 
512 ,1366 
514 ,1373 
516 ,1381 
518 ,1388 
520 ,1396 
522 ,1403 
524 ,1410 
526 ,1418 
528 ,1425 
530 ,1433 
532 ,1440 
534 ,1448 
536 ,1455 
538 ,1463 
540 ,1470 
542 ,1478 
544 ,1485 
546 ,1493 
548 ,1500 
550 ,1507 
552 ,1515 
554 ,1522 
556 ,1529 
558 ,1537 
560 ,1544 
562 ,1551 
564 ,1559 
566 ,1566 
568 ,1574 
570 ,1581 
572 ,1588 
574 ,1596 
576 ,1603 
578 ,1610 
580 ,1618 
582 ,1625 
584 ,1632 
586 ,1640 
588 ,1647 
590 ,1654 
592 ,1662 
594 ,1669 
596 ,1676 
598 ,1684 
600 ,1691 
602 ,1699 
604 ,1706 
606 ,1713 
608 ,1721 
610 ,1728 
612 ,1735 
614 ,1743 
616 ,1750 
618 ,1757 
620 ,1765 
622 ,1772 
624 ,1779 
626 ,1787 
628 ,1794 
630 ,1801 
632 ,1809 
634 ,1816 
636 ,1824 
638 ,1831 
640 ,1838 
642 ,1846 
644 ,1853 
646 ,1860 
648 ,1868 
650 ,1875 
652 ,1882 
654 ,1890 
656 ,1897 
658 ,1904 
660 ,1912 
662 ,1919 
664 ,1926 
666 ,1934 
668 ,1941 
670 ,1949 
672 ,1956 
674 ,1963 
676 ,1971 
678 ,1978 
680 ,1985 
682 ,1993 
684 ,2000 
686 ,2008 
688 ,2015 
690 ,2023 
692 ,2031 
694 ,2038 
696 ,2046 
698 ,2054 
700 ,2062 
702 ,2069 
704 ,2077 
706 ,2085 
708 ,2092 
710 ,2100 
712 ,2108 
714 ,2115 
716 ,2123 
718 ,2131 
720 ,2138 
722 ,2146 
724 ,2154 
726 ,2162 
728 ,2169 
730 ,2177 
732 ,2185 
734 ,2192 
736 ,2200 
738 ,2208 
740 ,2215 
742 ,2223 
744 ,2231 
746 ,2238 
748 ,2246 
750 ,2254 
752 ,2262 
754 ,2269 
756 ,2277 
758 ,2285 
760 ,2292 
762 ,2300 
764 ,2308 
766 ,2315 
768 ,2323 
770 ,2331 
772 ,2338 
774 ,2346 
776 ,2354 
778 ,2362 
780 ,2369 
782 ,2377 
784 ,2385 
786 ,2392 
788 ,2400 
790 ,2408 
792 ,2415 
794 ,2423 
796 ,2431 
798 ,2438 
800 ,2446 
802 ,2454 
804 ,2462 
806 ,2469 
808 ,2477 
810 ,2485 
812 ,2492 
814 ,2500 
816 ,2508 
818 ,2515 
820 ,2523 
822 ,2530 
824 ,2538 
826 ,2545 
828 ,2553 
830 ,2561 
832 ,2568 
834 ,2576 
836 ,2583 
838 ,2591 
840 ,2598 
842 ,2606 
844 ,2614 
846 ,2621 
848 ,2629 
850 ,2636 
852 ,2644 
854 ,2652 
856 ,2659 
858 ,2667 
860 ,2674 
862 ,2682 
864 ,2689 
866 ,2697 
868 ,2705 
870 ,2712 
872 ,2720 
874 ,2727 
876 ,2735 
878 ,2742 
880 ,2750 
882 ,2758 
884 ,2765 
886 ,2773 
888 ,2780 
890 ,2788 
892 ,2795 
894 ,2803 
896 ,2811 
898 ,2818 
900 ,2826 
902 ,2833 
904 ,2841 
906 ,2848 
908 ,2856 
910 ,2864 
912 ,2871 
914 ,2879 
916 ,2886 
918 ,2894 
920 ,2902 
922 ,2909 
924 ,2917 
926 ,2924 
928 ,2932 
930 ,2939 
932 ,2947 
934 ,2955 
936 ,2962 
938 ,2970 
940 ,2977 
942 ,2985 
944 ,2992 
946 ,3000 
948 ,3007 
950 ,3014 
952 ,3021 
954 ,3029 
956 ,3036 
958 ,3043 
960 ,3050 
962 ,3057 
964 ,3064 
966 ,3071 
968 ,3079 
970 ,3086 
972 ,3093 
974 ,3100 
976 ,3107 
978 ,3114 
980 ,3121 
982 ,3129 
984 ,3136 
986 ,3143 
988 ,3150 
990 ,3157 
992 ,3164 
994 ,3171 
996 ,3179 
998 ,3186 
1000 ,3193 
1002 ,3200 
1004 ,3207 
1006 ,3214 
1008 ,3221 
1010 ,3229 
1012 ,3236 
1014 ,3243 
1016 ,3250 
1018 ,3257 
1020 ,3264 
1022 ,3271 
1024 ,3279 
1026 ,3286 
1028 ,3293 
1030 ,3300 
1032 ,3307 
1034 ,3314 
1036 ,3321 
1038 ,3329 
1040 ,3336 
1042 ,3343 
1044 ,3350 
1046 ,3357 
1048 ,3364 
1050 ,3371 
1052 ,3379 
1054 ,3386 
1056 ,3393 
1058 ,3400 
1060 ,3407 
1062 ,3414 
1064 ,3421 
1066 ,3429 
1068 ,3436 
1070 ,3443 
1072 ,3450 
1074 ,3457 
1076 ,3464 
1078 ,3471 
1080 ,3479 
1082 ,3486 
1084 ,3493 
1086 ,3500 
1088 ,3506 
1090 ,3513 
1092 ,3519 
1094 ,3526 
1096 ,3532 
1098 ,3539 
1100 ,3545 
1102 ,3552 
1104 ,3558 
1106 ,3565 
1108 ,3571 
1110 ,3578 
1112 ,3584 
1114 ,3591 
1116 ,3597 
1118 ,3604 
1120 ,3610 
1122 ,3617 
1124 ,3623 
1126 ,3630 
1128 ,3636 
1130 ,3643 
1132 ,3649 
1134 ,3656 
1136 ,3662 
1138 ,3669 
1140 ,3675 
1142 ,3682 
1144 ,3688 
1146 ,3695 
1148 ,3701 
1150 ,3708 
1152 ,3714 
1154 ,3721 
1156 ,3727 
1158 ,3734 
1160 ,3740 
1162 ,3747 
1164 ,3753 
1166 ,3760 
1168 ,3766 
1170 ,3773 
1172 ,3779 
1174 ,3786 
1176 ,3792 
1178 ,3799 
1180 ,3805 
1182 ,3812 
1184 ,3818 
1186 ,3825 
1188 ,3831 
1190 ,3838 
1192 ,3844 
1194 ,3851 
1196 ,3857 
1198 ,3864 
1200 ,3870 
1202 ,3877 
1204 ,3883 
1206 ,3890 
1208 ,3896 
1210 ,3903 
1212 ,3909 
1214 ,3916 
1216 ,3922 
1218 ,3929 
1220 ,3935 
1222 ,3942 
1224 ,3948 
1226 ,3955 
1228 ,3961 
1230 ,3968 
1232 ,3974 
1234 ,3981 
1236 ,3987 
1238 ,3994 
1240 ,4000 
1242 ,4005 
1244 ,4009 
1246 ,4014 
1248 ,4019 
1250 ,4023 
1252 ,4028 
1254 ,4033 
1256 ,4037 
1258 ,4042 
1260 ,4047 
1262 ,4051 
1264 ,4056 
1266 ,4061 
1268 ,4065 
1270 ,4070 
1272 ,4075 
1274 ,4079 
1276 ,4084 
1278 ,4089 
1280 ,4093 
1282 ,4098 
1284 ,4103 
1286 ,4107 
1288 ,4112 
1290 ,4117 
1292 ,4121 
1294 ,4126 
1296 ,4131 
1298 ,4136 
1300 ,4140 
1302 ,4145 
1304 ,4150 
1306 ,4154 
1308 ,4159 
1310 ,4164 
1312 ,4168 
1314 ,4173 
1316 ,4178 
1318 ,4182 
1320 ,4187 
1322 ,4192 
1324 ,4196 
1326 ,4201 
1328 ,4206 
1330 ,4210 
1332 ,4215 
1334 ,4220 
1336 ,4224 
1338 ,4229 
1340 ,4234 
1342 ,4238 
1344 ,4243 
1346 ,4248 
1348 ,4252 
1350 ,4257 
1352 ,4262 
1354 ,4266 
1356 ,4271 
1358 ,4276 
