Height(mm),Volume(ltrs)
0,0
2,2
4,5
6,7
8,9
10,12
12,14
14,16
16,19
18,21
20,23
22,26
24,28
26,30
28,33
30,35
32,37
34,40
36,42
38,44
40,47
42,49
44,51
46,53
48,56
50,58
52,60
54,63
56,65
58,67
60,70
62,72
64,74
66,77
68,79
70,81
72,84
74,86
76,88
78,91
80,93
82,95
84,98
86,100
88,103
90,105
92,108
94,111
96,114
98,116
100,119
102,122
104,124
106,127
108,130
110,132
112,135
114,138
116,141
118,143
120,146
122,149
124,151
126,154
128,157
130,159
132,162
134,165
136,168
138,170
140,173
142,176
144,178
146,181
148,184
150,186
152,189
154,192
156,195
158,197
160,200
162,203
164,205
166,208
168,211
170,214
172,216
174,219
176,222
178,225
180,227
182,230
184,233
186,235
188,238
190,241
192,244
194,246
196,249
198,252
200,255
202,257
204,260
206,263
208,265
210,268
212,271
214,274
216,276
218,279
220,282
222,285
224,287
226,290
228,293
230,295
232,298
234,301
236,304
238,306
240,309
242,312
244,315
246,317
248,320
250,323
252,325
254,328
256,331
258,334
260,336
262,339
264,342
266,345
268,347
270,350
272,353
274,356
276,358
278,361
280,364
282,367
284,369
286,372
288,375
290,378
292,381
294,383
296,386
298,389
300,392
302,394
304,397
306,400
308,403
310,406
312,408
314,411
316,414
318,417
320,419
322,422
324,425
326,428
328,431
330,433
332,436
334,439
336,442
338,444
340,447
342,450
344,453
346,456
348,458
350,461
352,464
354,467
356,469
358,472
360,475
362,478
364,481
366,483
368,486
370,489
372,492
374,494
376,497
378,500
380,503
382,506
384,508
386,511
388,514
390,517
392,519
394,522
396,525
398,528
400,531
402,533
404,536
406,539
408,542
410,544
412,547
414,550
416,553
418,556
420,558
422,561
424,564
426,567
428,569
430,572
432,575
434,578
436,581
438,583
440,586
442,589
444,592
446,594
448,597
450,600
452,603
454,606
456,608
458,611
460,614
462,617
464,619
466,622
468,625
470,628
472,631
474,633
476,636
478,639
480,642
482,644
484,647
486,650
488,653
490,656
492,658
494,661
496,664
498,667
500,669
502,672
504,675
506,678
508,681
510,683
512,686
514,689
516,692
518,694
520,697
522,700
524,703
526,706
528,708
530,711
532,714
534,717
536,719
538,722
540,725
542,728
544,731
546,733
548,736
550,739
552,742
554,744
556,747
558,750
560,753
562,756
564,758
566,761
568,764
570,767
572,769
574,772
576,775
578,778
580,781
582,783
584,786
586,789
588,792
590,794
592,797
594,800
596,803
598,806
600,808
602,811
604,814
606,817
608,819
610,822
612,825
614,828
616,831
618,833
620,836
622,839
624,842
626,844
628,847
630,850
632,853
634,856
636,858
638,861
640,864
642,867
644,869
646,872
648,875
650,878
652,881
654,883
656,886
658,889
660,892
662,894
664,897
666,900
668,903
670,906
672,908
674,911
676,914
678,917
680,919
682,922
684,925
686,928
688,931
690,933
692,936
694,939
696,942
698,944
700,947
702,950
704,953
706,956
708,958
710,961
712,964
714,967
716,969
718,972
720,975
722,978
724,981
726,983
728,986
730,989
732,992
734,994
736,997
738,1000
740,1003
742,1006
744,1008
746,1011
748,1014
750,1017
752,1020
754,1022
756,1025
758,1028
760,1031
762,1034
764,1037
766,1039
768,1042
770,1045
772,1048
774,1051
776,1053
778,1056
780,1059
782,1062
784,1065
786,1067
788,1070
790,1073
792,1076
794,1079
796,1081
798,1084
800,1087
802,1090
804,1093
806,1096
808,1098
810,1101
812,1104
814,1107
816,1110
818,1112
820,1115
822,1118
824,1121
826,1124
828,1126
830,1129
832,1132
834,1135
836,1138
838,1140
840,1143
842,1146
844,1149
846,1152
848,1154
850,1157
852,1160
854,1163
856,1166
858,1169
860,1171
862,1174
864,1177
866,1180
868,1183
870,1185
872,1188
874,1191
876,1194
878,1197
880,1199
882,1202
884,1205
886,1208
888,1211
890,1213
892,1216
894,1219
896,1222
898,1225
900,1228
902,1230
904,1233
906,1236
908,1239
910,1242
912,1244
914,1247
916,1250
918,1253
920,1256
922,1258
924,1261
926,1264
928,1267
930,1270
932,1272
934,1275
936,1278
938,1281
940,1284
942,1287
944,1289
946,1292
948,1295
950,1298
952,1301
954,1303
956,1306
958,1309
960,1312
962,1315
964,1317
966,1320
968,1323
970,1326
972,1329
974,1331
976,1334
978,1337
980,1340
982,1343
984,1346
986,1348
988,1351
990,1354
992,1357
994,1360
996,1362
998,1365
1000,1368
1002,1371
1004,1374
1006,1376
1008,1379
1010,1382
1012,1385
1014,1388
1016,1390
1018,1393
1020,1396
1022,1399
1024,1402
1026,1404
1028,1407
1030,1410
1032,1413
1034,1416
1036,1419
1038,1421
1040,1424
1042,1427
1044,1430
1046,1433
1048,1435
1050,1438
1052,1441
1054,1444
1056,1447
1058,1449
1060,1452
1062,1455
1064,1458
1066,1461
1068,1463
1070,1466
1072,1469
1074,1472
1076,1475
1078,1478
1080,1480
1082,1483
1084,1486
